Sentiment,review_title,review_text
1,fdloose@bellsouth.net,"This is one of the weakest books I have read in quite some time. Predictable, calculated, unimaginative. I think M. Connelly is going downhill. Void Moon reads like a television show, is paced like a television show, and would probably make a good ""B"" television show. But, an exciting book it ain't. From the beginning you know who the little girl is and how she will come into play plot wise. I expected better. This is the last hardback I will buy from M. Connelly. And if the next Bosch story has as weak an ending as Angel's Flight, it will be the last Connelly book I buy, period. However, if you are in to mindless romps, you will probably enjoy Void Moon. If your tastes run a bit more discriminating, do yourself a favor and skip this one."
2,Great book! It would make a terrific movie.,"This book brings small-town, high school football alive. I had a hard time putting it down. There is a touch of violence and some foul language so read it before you decide to let your children do so. For those adults who live in West Texas, especially those who have played sports or cheered on their favorite teams, you may find a likeness of yourselves in the book."
1,A bit too much...,Purchased because I enjoyed the Transporter movie series. This movie is very different and a lot more vulgar. I had to get rid of this movie because the language was just too much. It was a waste of money.
1,Save Your Money,This product is junk--difficult to use. You are working for the software instead of vice versa. Clumsy handling of data and poor screen presentation. Sorry I wasted my money.
1,Dorman mirror glass 51326,"This is my 2nd purchase of this item, the 1st has fallen of the frame and broke. They should make the glue strips stronger !"
2,Mediative/Yoga CD,"The music flows endlessly, but it's too bad that the same song is replayed on the CD instead of a different one. This CD should be priced lower."
2,"Excellent, but consider cheaper alternatives.","Body Glide works as advertized, and is the best anti-chafing product I've ever used. However, its huge price makes it a very poor value. I recommend trying simple antiperspirant deodorant (in stick-form) on your trouble areas first. If you find the deodorant provides adequate results, you will have saved yourself a ton of money per stick. If that doesn't work well enough for you, then I'd say Body Glide is definitely for you."
1,bad beck,this record is bad. mutations is great. how dare you rip off sarge? and call it a spoon song? well...I never...see you at fred 62 ;)
2,Invastion - the complete series,I watched this when it was on TV. Really enjoyed watching the DVDs over and over again
1,Awful,"My mother bought this ""sewing machine"" for me, thinking that she could save some money. I used it for one night, then I became so frustrated with it that I quit. It would frequently jam. It is now collecting dust on my bookshelf. It is incredibly hard to use and I would recommend it to no one!"
2,Inspiring to say the least,I saw her in concert and had to get her album. After listening to the entire album more times than I can count I got inspired to start writing songs and music again. Truly a talented person.
1,Rowenta DX1700 Just OK,"The old black & decker iron I was replacing was just as good. The Rowenta irons just fine, but is way too heavy and you have to add water way too often. Really a hassle to stop ironing and add more water."
2,A great cross-section,"""Prime Cuts"" is a best-of album so, you either like ST or you don't. Being a 20-year ST fan, I love having a cross-section of their material. (Personally, I was surprised the ""Controlled by Hatred"" didn't make the cut (no pun intended). If you're not a ST fan, then this is a great introduction. They never really made it big but they had some great material. Any interest in skater-thrash or metal? If so, ST is for you."
1,The worst vacuum I've ever owned,"I picked this up a local BJs, wish I had seen the reviews on Amazon first. There are no rollers on this vacuum, just two rows of bristles. I have two cats, one's a long hair that sheds pretty quick year round. The bristles catch the cat hair, get full and then just rolls it around on the floor. I have a low nap carpet, and it still can't remove anything except the most basic dirt. The conversion to a portable isn't all that wonderful either, the button to release the standard vacuum head is a bit tough to push in, and the hose doesn't do a much better job than the regular floor head did. Save your money, and buy an old vacuum at a thrift store before you buy this turkey."
1,Absolutely Horrible,"You know a script has gone south when every other word is the ""f"" word. The writers overloaded the ""f"" word using it as a noun, verb, adverb and I believe a conjunction. I know this is supposed to be a gritty film. But it was hard to tell the plot because the writing was so poor. We gave up after 15 minutes. This movie went directly to the trash."
1,and Why Not?,"I was curious to know his story, I didnt get much interesting views from him but I am still finding that his purpose is to shock people and blame everything on religion!"
2,Red Shopping Cart,"Easy to assemble, fits our cooler and boat supplies so that the run to the dock is faster and easier! Super large stable wheels take bumps well, rolls easily and is a joy to steer. Think this is for our Grandparents? Forget that and get one now!"
1,This was worthless had nothing to do with the Replacements!,I have bought other books in the series and I was hoping this would be a description surounding the making of Let It be by the Replacements. I was interested in the sounds and the songs and the methods for making this great record. What I got was the memoirs of a flavor of the month indie rock singer talking in way too much detail about mix tapes from middle school. I think choosing this kid to write about such a great band was a mistake.This book has very little to do with the Replacements.Collin is qualified to write about the Shins perhaps but not the Replacements.
2,AMAZING,"It's about time someone made a cd where every song is good and not just the first released. Avril Lavigne's new cd 'Let Go' is positively one of the best cd's I have ever bought. If it were a tape, I would've worn it out already, cuz I swear I play the cd about 15 times a day beginning to end. Every single song has a great message and makes you wanna get up and sing. It's a great cd, and the fact that Avril is just 17 (like myself) is even more amazing. Do I sound obsessed? That's cuz I am! Avril has loads of talent and I hope that everyone else gives her a chance as well. If you don't have the cd, go out and buy it, it won't be a waste of your money.~Avril's #1 fan: Holly~"
1,A Wannabe Oliver Stone Conspiracy Flick But More Absurd Than JFK,"The movie fails to advance its theory that Wayne Williams was not responsible for the murders. In fact, the producers are only interested in ignoring facts in favor of any scenario, no matter how improbable, that absolves Williams as the sole person responsible for the crimes. Since the arrest of Williams, the murders stopped. Why would this sci-fi flick want to address that fact? But those who get a kick out of mediocre acting and conspiracy woo should find it to their taste."
1,a disappointment,"I want to warn any pagans or those interested in paganism away from this book. I myself am a practicing pagan of many years. I know that Sybil Leek was a highly respected wiccan, and probably rightly so, but this book is a mess. The biggest chunk of it is spent dumping on contemporary pagans who just aren't doing it right (per Sybil), fairly uninteresting anecdotes, and surprisingly lame stuff like a whole chapter where she wrestles with her own homophobia. There's many better books than this one out there."
