SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE
227558,0,Cash loans,M,Y,Y,1,180000.0,823621.5,27351.0,711000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.025164,-10743,-2871,-9988.0,-3172,7.0,1,1,1,1,1,0,Laborers
251612,0,Cash loans,F,N,N,0,85500.0,536917.5,17874.0,463500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0.018801,-23115,365243,-9612.0,-4856,,1,0,0,1,0,0,
225052,0,Cash loans,F,N,Y,0,148500.0,152820.0,15241.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.006629,-19976,-3469,-8688.0,-3466,,1,1,0,1,0,0,
445663,0,Cash loans,F,Y,Y,0,157500.0,1065433.5,42385.5,913500.0,Other_B,Pensioner,Higher education,Married,House / apartment,0.0031219999999999,-22362,365243,-9640.0,-4119,14.0,1,0,0,1,0,0,
108480,0,Cash loans,F,N,Y,0,67500.0,164952.0,6052.5,130500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.008575,-20919,365243,-9295.0,-4312,,1,0,0,1,0,0,
169979,0,Cash loans,M,Y,Y,1,229500.0,1687266.0,67045.5,1575000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.006296,-13198,-3855,-4607.0,-4635,8.0,1,1,0,1,0,0,
128491,0,Cash loans,F,N,N,0,45000.0,107820.0,8190.0,90000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.01885,-24240,365243,-9062.0,-4101,,1,0,0,1,0,0,
194447,0,Cash loans,M,N,Y,0,112500.0,276277.5,19777.5,238500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.0105,-8876,-1584,-2302.0,-1489,,1,1,0,1,0,0,
239740,0,Cash loans,F,N,Y,0,45000.0,229500.0,9720.0,229500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.015221,-23062,365243,-11944.0,-4755,,1,0,0,1,0,0,
244021,0,Cash loans,F,N,Y,1,225000.0,1823242.5,63504.0,1665000.0,Family,Working,Higher education,Married,House / apartment,0.022625,-15518,-1248,-188.0,-1779,,1,1,0,1,0,0,Managers
156849,0,Revolving loans,F,N,N,1,90000.0,315000.0,15750.0,315000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.0196889999999999,-10739,-340,-1800.0,-1823,,1,1,0,1,0,0,Sales staff
395141,0,Cash loans,F,Y,Y,0,189000.0,1614955.5,59980.5,1507500.0,"Spouse, partner",Pensioner,Higher education,Married,House / apartment,0.018634,-20072,365243,-5144.0,-3466,2.0,1,0,0,1,0,0,
200027,0,Cash loans,F,N,Y,2,270000.0,450441.0,48640.5,405000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.0116569999999999,-14528,-171,-754.0,-1074,,1,1,0,1,0,1,High skill tech staff
306138,0,Cash loans,F,Y,Y,1,225000.0,2172573.0,57442.5,1813500.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-13897,-112,-4.0,-4835,6.0,1,1,0,1,1,0,
234642,0,Revolving loans,M,Y,Y,2,180000.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-9336,-1913,-787.0,-1976,14.0,1,1,0,1,0,0,Managers
256670,0,Revolving loans,F,N,Y,0,54000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-18655,-10790,-9738.0,-1957,,1,1,0,1,1,0,Laborers
319678,0,Cash loans,M,Y,N,3,270000.0,1575000.0,47884.5,1575000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-14178,-5051,-1399.0,-5080,11.0,1,1,0,1,0,0,High skill tech staff
225032,0,Revolving loans,F,N,Y,0,112500.0,247500.0,12375.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-11771,-1955,-2189.0,-4234,,1,1,0,1,1,0,Sales staff
387528,0,Cash loans,F,N,Y,0,135000.0,807984.0,26833.5,697500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.00712,-23263,365243,-4312.0,-5895,,1,0,0,1,0,0,
122892,0,Cash loans,M,Y,Y,0,247500.0,781920.0,47965.5,675000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011703,-10019,-530,-4398.0,-2695,6.0,1,1,0,1,0,0,Laborers
277829,0,Cash loans,F,Y,Y,0,135000.0,918468.0,30483.0,697500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625,-16565,-620,-6683.0,-99,16.0,1,1,0,1,0,0,Sales staff
432840,0,Revolving loans,F,N,Y,1,94500.0,202500.0,10125.0,202500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.010276,-20090,365243,-11446.0,-3175,,1,0,0,1,0,0,
140152,0,Cash loans,F,N,Y,0,112500.0,312768.0,17095.5,270000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.011703,-8790,-493,-4328.0,-1480,,1,1,0,1,0,0,Laborers
211444,0,Cash loans,F,N,Y,1,166500.0,247275.0,19134.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-12086,-989,-1008.0,-3572,,1,1,1,1,0,0,
152098,0,Cash loans,F,N,Y,0,135000.0,183784.5,16983.0,148500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625,-12879,-2891,-3779.0,-3779,,1,1,0,1,0,0,Laborers
105401,0,Cash loans,F,Y,Y,0,270000.0,503266.5,49158.0,463500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.032561,-15566,-5475,-7242.0,-5634,4.0,1,1,0,1,1,0,Accountants
208685,0,Cash loans,F,N,Y,0,90000.0,545040.0,19705.5,450000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-22148,365243,-1633.0,-4535,,1,0,0,1,0,0,
137482,0,Cash loans,F,Y,Y,0,126000.0,450000.0,32134.5,450000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.010006,-18598,-1351,-7213.0,-1767,3.0,1,1,1,1,1,0,High skill tech staff
424088,0,Cash loans,M,N,Y,0,112500.0,481500.0,38173.5,481500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-13342,-5521,-2375.0,-4021,,1,1,0,1,0,0,Core staff
250738,0,Cash loans,M,Y,Y,1,112500.0,360351.0,37966.5,324000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00963,-18653,-1439,-4173.0,-2191,25.0,1,1,0,1,0,0,Security staff
190001,0,Cash loans,F,N,Y,0,112500.0,852088.5,34834.5,688500.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.0105,-9876,-575,-1320.0,-2373,,1,1,0,1,0,0,
221984,0,Cash loans,F,N,Y,0,360000.0,755190.0,36459.0,675000.0,Family,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.006207,-16869,-1110,-4131.0,-428,,1,1,0,1,0,0,
192823,1,Cash loans,F,N,Y,0,225000.0,973503.0,46962.0,855000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.004849,-17333,-1825,-11589.0,-824,,1,1,0,1,0,1,Cooking staff
187011,0,Revolving loans,F,Y,N,0,45000.0,225000.0,11250.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.00712,-13872,-156,-3748.0,-5073,9.0,1,1,1,1,1,0,Core staff
430413,0,Cash loans,F,Y,N,1,112500.0,225000.0,8613.0,225000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.005002,-10616,-295,-2894.0,-3288,25.0,1,1,0,1,0,0,High skill tech staff
360022,0,Cash loans,F,N,Y,0,72000.0,284400.0,19134.0,225000.0,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,0.035792,-12722,-2549,-3124.0,-4234,,1,1,1,1,1,0,Cooking staff
263155,0,Cash loans,F,N,Y,0,202500.0,547344.0,23319.0,472500.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.011703,-15078,-809,-1860.0,-4600,,1,1,0,1,0,0,Medicine staff
182848,0,Cash loans,F,N,Y,0,126000.0,508495.5,21672.0,454500.0,Family,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.00733,-23340,365243,-5756.0,-3264,,1,0,0,1,0,0,
208089,0,Cash loans,F,N,N,0,225000.0,310671.0,19984.5,256500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020246,-9839,-2642,-3091.0,-2517,,1,1,0,1,0,0,Sales staff
186996,0,Cash loans,F,N,N,0,202500.0,450000.0,11871.0,450000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.019101,-15051,-831,-9143.0,-4297,,1,1,0,1,0,0,Accountants
142347,0,Cash loans,F,N,Y,1,63000.0,134775.0,6066.0,112500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.00702,-14898,-2334,-2466.0,-4425,,1,1,0,1,0,0,Cleaning staff
419041,0,Cash loans,M,N,Y,0,292500.0,420588.0,32679.0,360000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.016612,-19865,-9076,-9814.0,-3220,,1,1,0,1,0,1,Drivers
362947,0,Revolving loans,M,Y,Y,0,67500.0,202500.0,10125.0,202500.0,Family,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.031329,-21288,365243,-10033.0,-4668,17.0,1,0,0,1,0,0,
196646,0,Cash loans,F,Y,N,0,225000.0,900000.0,45954.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101,-15580,-1074,-4522.0,-4828,2.0,1,1,0,1,0,0,Laborers
169492,0,Cash loans,M,Y,N,0,180000.0,1061599.5,29322.0,927000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.028663,-18928,-1366,-680.0,-2473,4.0,1,1,0,1,0,0,Drivers
251546,0,Cash loans,F,N,Y,0,112500.0,1125000.0,33025.5,1125000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.022625,-18121,-3578,-6098.0,-1662,,1,1,0,1,0,0,
174500,0,Cash loans,F,N,Y,0,112500.0,301536.0,12906.0,216000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.025164,-23976,365243,-7787.0,-5118,,1,0,0,1,1,0,
126027,0,Cash loans,F,N,Y,1,90000.0,573628.5,27724.5,463500.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00733,-11166,-552,-4198.0,-3716,,1,1,0,1,0,0,Laborers
429603,0,Cash loans,F,N,Y,1,225000.0,1078200.0,38331.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-15428,-757,-366.0,-4511,,1,1,0,1,0,0,Laborers
248980,0,Cash loans,M,Y,Y,2,450000.0,1125000.0,36423.0,1125000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018209,-13596,-3171,-2175.0,-4858,4.0,1,1,0,1,1,0,Managers
270813,0,Cash loans,F,Y,N,0,67500.0,107820.0,7798.5,90000.0,Family,Commercial associate,Lower secondary,Married,House / apartment,0.030755,-18467,-303,-10565.0,-1957,35.0,1,1,0,1,0,0,
358383,0,Cash loans,F,N,Y,2,135000.0,521280.0,31630.5,450000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.00733,-13624,-1163,-623.0,-4766,,1,1,0,1,0,0,Accountants
323651,0,Cash loans,F,N,Y,0,135000.0,477000.0,20340.0,477000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.028663,-14043,-1604,-1050.0,-2845,,1,1,0,1,0,0,
268551,0,Cash loans,F,Y,Y,0,270000.0,360000.0,18508.5,360000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Office apartment,0.026392,-12551,-596,-741.0,-4193,1.0,1,1,0,1,0,0,Drivers
342798,0,Cash loans,F,Y,Y,0,270000.0,337761.0,22977.0,256500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0228,-14198,-174,-7.0,-4860,3.0,1,1,0,1,0,0,
179723,0,Cash loans,M,Y,Y,0,135000.0,247500.0,6655.5,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-19516,-362,-11778.0,-2808,8.0,1,1,1,1,0,0,Security staff
149683,0,Cash loans,F,Y,N,0,225000.0,1293502.5,35698.5,1129500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.031329,-19045,-2914,-6081.0,-2495,9.0,1,1,1,1,0,0,Medicine staff
181023,0,Cash loans,M,N,Y,0,114750.0,675000.0,35757.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,-22796,365243,-3038.0,-4573,,1,0,0,1,1,0,
394393,1,Cash loans,F,N,Y,0,225000.0,835380.0,35523.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.010147,-16171,-1689,-540.0,-4431,,1,1,0,1,1,0,Laborers
275454,0,Cash loans,F,Y,Y,0,112500.0,328405.5,20218.5,283500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.019101,-19396,-1296,-3395.0,-2849,3.0,1,1,0,1,1,0,Laborers
236086,0,Cash loans,F,N,N,2,126000.0,679500.0,26946.0,679500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.010966,-11310,-1358,-2042.0,-3232,,1,1,0,1,0,0,Managers
122098,0,Cash loans,F,N,Y,2,112500.0,942300.0,30528.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.016612,-12526,-590,-6399.0,-4371,,1,1,0,1,0,0,Sales staff
452171,0,Cash loans,F,Y,N,2,157500.0,755190.0,36328.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006629,-11025,-190,-4575.0,-2719,15.0,1,1,0,1,1,0,Core staff
373765,0,Cash loans,F,N,Y,0,112500.0,553806.0,37287.0,495000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.014464,-22332,365243,-6400.0,-4819,,1,0,0,1,0,0,
303210,0,Cash loans,F,N,Y,0,135000.0,576837.0,16866.0,481500.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.020246,-19028,-8651,-8263.0,-2461,,1,1,0,1,0,0,
148542,0,Cash loans,M,Y,N,0,180000.0,592560.0,32274.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,Rented apartment,0.030755,-10229,-961,-2646.0,-2635,1.0,1,1,0,1,0,0,Drivers
408252,0,Cash loans,F,N,Y,2,112500.0,634482.0,20596.5,454500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.028663,-13893,-3021,-3146.0,-3206,,1,1,0,1,1,0,
400709,0,Cash loans,F,N,Y,1,450000.0,582228.0,22689.0,486000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.04622,-12475,-4736,-4042.0,-4048,,1,1,0,1,0,0,Laborers
262361,0,Revolving loans,F,Y,Y,2,180000.0,810000.0,40500.0,810000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0228,-20047,-545,-7054.0,-3543,7.0,1,1,0,1,0,0,Laborers
428034,0,Cash loans,F,Y,Y,0,191142.0,1350000.0,55116.0,1350000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.030755,-8371,-1548,-8371.0,-1037,2.0,1,1,1,1,1,0,Managers
137636,0,Revolving loans,F,N,Y,0,121500.0,157500.0,7875.0,157500.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.0228,-17154,-462,-6229.0,-710,,1,1,0,1,0,0,
403141,0,Cash loans,F,N,Y,0,90000.0,675000.0,21775.5,675000.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.018209,-8059,-345,-3715.0,-327,,1,1,0,1,1,0,Core staff
211845,0,Cash loans,F,N,N,1,72000.0,364896.0,19233.0,315000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,Co-op apartment,0.008068,-10104,-251,-3408.0,-2657,,1,1,1,1,0,0,Security staff
380640,0,Cash loans,F,Y,N,1,126000.0,743031.0,37872.0,688500.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.010032,-13689,-3857,-5546.0,-544,20.0,1,1,1,1,1,0,Sales staff
308283,1,Cash loans,F,N,Y,0,128250.0,879480.0,28498.5,630000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.018801,-21350,365243,-2835.0,-2323,,1,0,0,1,0,0,
106376,0,Cash loans,M,N,N,0,225000.0,545040.0,28894.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-15169,-388,-9294.0,-4909,,1,1,0,1,1,0,Laborers
157047,0,Cash loans,F,N,Y,0,157500.0,523152.0,40617.0,463500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-17995,-4032,-1190.0,-1540,,1,1,0,1,0,0,Laborers
397067,0,Cash loans,F,N,Y,2,270000.0,787131.0,40887.0,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.009334,-14927,-3041,-441.0,-4873,,1,1,0,1,0,0,High skill tech staff
408631,0,Cash loans,F,N,Y,0,112500.0,755190.0,36459.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018634,-9988,-473,-9340.0,-735,,1,1,0,1,0,0,
400413,0,Revolving loans,F,Y,N,0,315000.0,225000.0,11250.0,225000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-16161,-1940,-6434.0,-4636,2.0,1,1,1,1,0,0,Core staff
154941,0,Cash loans,M,N,Y,1,90000.0,533668.5,27378.0,477000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.022625,-12795,-308,-4332.0,-4234,,1,1,0,1,0,0,Laborers
119903,0,Cash loans,M,Y,N,0,135000.0,148365.0,12024.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Co-op apartment,0.014464,-12149,-2660,-2613.0,-4265,13.0,1,1,0,1,0,0,Laborers
426695,1,Cash loans,M,N,N,3,112500.0,675000.0,26770.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.020713,-14325,-2012,-6054.0,-155,,1,1,0,1,1,0,Core staff
383119,0,Cash loans,F,Y,Y,1,247500.0,968841.0,62046.0,846000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.020713,-14476,-941,-133.0,-2477,14.0,1,1,0,1,0,0,Managers
360630,0,Cash loans,M,Y,Y,0,112500.0,270045.0,26437.5,256500.0,Unaccompanied,Working,Higher education,Single / not married,With parents,0.006305,-9126,-1188,-7679.0,-1807,13.0,1,1,0,1,0,0,Sales staff
209564,0,Cash loans,F,N,Y,0,157500.0,1160973.0,33273.0,909000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792,-21305,-8465,-9914.0,-953,,1,1,1,1,0,0,
426716,0,Cash loans,F,Y,Y,0,315000.0,1800000.0,49630.5,1800000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,-19608,-977,-13631.0,-3142,24.0,1,1,0,1,0,0,Accountants
