ID,TOTAL.VALUE,TAX,LOT.SQFT,YR.BUILT,GROSS.AREA,LIVING.AREA,FLOORS,ROOMS,BEDROOMS,FULL.BATH,HALF.BATH,KITCHEN,FIREPLACE,REMODEL
1001,344.2,4330,9965,1880,2436,1352,2,6,3,1,1,1,0,None
1002,412.6,5190,6590,1945,3108,1976,2,10,4,2,1,1,0,Recent
1003,330.1,4152,7500,1890,2294,1371,2,8,4,1,1,1,0,None
1004,498.6,6272,13773,1957,5032,2608,1,9,5,1,1,1,1,None
1005,331.5,4170,5000,1910,2370,1438,2,7,3,2,0,1,0,None
1006,337.4,4244,5142,1950,2124,1060,1,6,3,1,0,1,1,Old
1007,359.4,4521,5000,1954,3220,1916,2,7,3,1,1,1,0,None
1008,320.4,4030,10000,1950,2208,1200,1,6,3,1,0,1,0,None
1009,333.5,4195,6835,1958,2582,1092,1,5,3,1,0,1,1,Recent
1010,409.4,5150,5093,1900,4818,2992,2,8,4,2,0,1,0,None
1011,313,3937,5000,1960,2624,1485,1.5,6,3,2,0,1,1,None
1012,344.5,4333,6768,1958,2844,1460,1.5,6,3,2,0,1,1,None
1013,315.5,3968,5000,1889,2196,1290,2,6,3,1,0,1,0,None
1014,575,7233,12288,2004,4616,2378,2,9,4,2,1,1,1,None
1015,326.2,4103,5000,1954,2536,1272,1.5,6,3,1,1,1,1,None
1016,298.2,3751,5000,1940,2129,864,1,7,3,2,0,1,0,None
1017,313.1,3938,6949,1880,2612,1438,1.5,7,3,1,1,1,0,Old
1018,344.9,4338,10000,1950,2099,1445,1,7,3,1,1,1,1,None
1019,330.7,4160,5000,1910,2408,1470,2,7,3,1,0,1,0,None
1020,348,4377,9001,1875,2840,1632,2,7,3,1,0,1,0,None
1021,317.5,3994,4450,1920,1400,1232,2,7,3,1,0,1,0,None
1022,330.8,4161,5000,1889,2560,1302,1.5,6,2,1,0,1,0,Recent
1023,357.8,4501,12255,1944,2631,1275,1.5,6,3,1,1,1,1,None
1024,414.7,5216,12972,1892,3796,2054,1.5,6,3,3,0,1,0,None
1025,318.8,4010,4717,1900,2512,1371,2,7,3,1,1,1,0,None
1026,346.2,4355,5000,1910,2655,1541,2,7,3,1,0,1,0,None
1027,245.1,3083,4142,1880,1892,927,1.5,5,2,1,0,1,0,None
1028,317.4,3992,5000,1910,2596,1244,1.5,7,3,1,0,1,0,None
1029,247.3,3111,4012,1896,1994,1048,1.5,6,3,1,0,1,0,None
1030,320.8,4035,13275,1910,1516,808,1.5,6,2,1,1,1,0,None
1031,328.8,4136,4717,1906,2824,1469,1.5,6,3,2,0,1,0,None
1032,293.6,3693,4289,1910,2286,1436,2,7,3,1,0,1,0,None
1033,280.1,3523,10688,1890,3014,1625,2,7,4,1,0,1,0,None
1034,342.5,4308,4717,1925,2802,1620,2,7,3,1,1,1,0,None
1035,337.2,4241,5000,1920,3112,1906,2,9,4,2,0,1,0,None
1036,336.5,4233,6842,1910,2269,1393,2,6,3,2,0,1,0,None
1037,315.6,3970,6675,1945,2392,1394,1.5,6,2,2,0,1,0,None
1038,296.5,3729,5683,1960,2982,1452,1,6,3,1,1,1,1,None
1039,239.7,3015,5450,1963,2112,960,1,5,3,1,0,1,1,None
1040,318.4,4005,4717,1915,3222,1803,1,7,3,1,1,1,0,None
1041,431.5,5428,6733,1990,2880,1792,2,7,3,2,1,1,1,Old
1042,349.8,4400,7242,1910,2496,1460,2,7,3,1,1,1,0,None
1043,344,4327,5683,1940,3136,1870,2,9,4,2,0,1,1,None
1044,358.3,4507,6138,1910,2500,1690,2,7,3,1,1,1,0,None
1045,346.2,4355,11250,1900,2830,1391,1.5,6,3,1,0,1,0,Old
1046,490.7,6173,5683,1995,4100,2640,2,6,3,1,1,1,1,Recent
1047,371.9,4678,7001,1996,2320,1500,2,7,3,2,1,1,1,None
1048,325.3,4092,4717,1910,2592,1572,2,7,3,1,1,1,0,None
1049,340.5,4283,8489,1950,2368,1326,1.5,6,3,1,1,1,1,None
1050,432.5,5440,7139,1996,2340,1500,2,7,3,2,1,1,0,None
1051,334.7,4210,4584,1907,3288,1694,2,7,3,1,1,1,0,None
1052,314.3,3953,7193,1900,2740,1508,2,7,3,1,0,1,0,None
1053,405.5,5101,3867,1996,2431,1560,2,7,3,2,1,1,1,None
1054,326,4101,4262,1960,2090,1300,2,7,3,1,1,1,1,None
1055,285.6,3592,5325,1945,3060,1364,1,5,2,1,0,1,1,None
1056,345.9,4351,8005,1900,2490,1562,2,7,3,1,1,1,1,None
1057,317.3,3991,7234,1910,2289,1440,2,7,3,1,0,1,0,None
1058,277.8,3494,5959,1940,2036,1018,1,5,3,1,1,1,1,None
1059,306.8,3859,7785,1860,2038,1056,1.5,6,3,1,0,1,0,None
1060,265.7,3342,3887,1950,2364,1075,1,6,3,2,0,1,1,Old
1061,356.8,4488,5906,1967,2368,2051,1,8,4,1,1,1,2,None
1062,299.9,3772,5401,1991,1800,1800,2,6,3,1,1,1,1,None
1063,287.8,3620,3204,1991,1800,1800,2,6,3,1,1,1,1,None
1064,296,3723,2947,1991,1800,1800,2,6,3,1,1,1,1,None
1065,300.6,3781,4241,1991,1800,1800,2,6,3,1,1,1,1,None
1066,566.3,7124,8249,2007,4390,2708,2,8,4,2,1,1,1,None
1067,286,3597,7655,1910,3013,1318,1.5,7,3,1,0,1,0,None
1068,351.2,4418,10000,1875,2232,1392,2,7,3,1,1,1,0,None
1069,365.1,4592,5058,1910,3362,1763,2,8,4,2,0,1,0,Recent
1070,330,4151,6330,1940,2644,1386,1.5,6,3,1,0,1,0,None
1071,354.1,4454,4984,1940,2441,1464,2,7,3,1,1,1,1,Recent
1072,335.8,4224,6111,1964,2262,1740,1,7,3,1,1,1,1,None
1073,345,4340,20000,1900,1754,845,1.5,6,3,1,0,1,0,None
1074,356.4,4483,5967,1942,3442,1836,2,8,3,2,0,1,0,Old
1075,379,4767,7940,1900,3894,2436,2,8,4,2,0,1,1,None
1076,352.1,4429,6003,1987,2178,1350,2,7,3,2,0,1,0,None
1077,437.3,5501,7000,1997,2628,1680,2,6,3,2,1,1,0,None
1078,404.2,5084,5488,1940,3780,1992,1.5,8,4,2,1,1,1,Recent
1079,283.4,3565,4774,1940,3128,1470,1,5,2,1,0,1,1,None
1080,326.4,4106,6029,1940,2620,1265,1.5,6,3,1,1,1,0,None
1081,309.2,3889,5057,1948,2244,1224,1.5,7,3,2,0,1,0,None
1082,332.9,4187,5682,1940,2484,1488,2,7,3,1,1,1,0,None
1083,260.4,3275,3819,1930,2468,1299,1.5,6,3,1,0,1,0,None
