SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE
386747,Cash loans,,0.0,0.0,,
118762,Consumer loans,10504.44,96709.5,108405.0,0.0,96709.5
277351,Revolving loans,16875.0,337500.0,337500.0,,337500.0
294430,Consumer loans,6697.215,106186.5,98401.5,21240.0,106186.5
216172,Consumer loans,6295.995,52155.0,31122.0,22500.0,52155.0
115792,Cash loans,26097.39,810000.0,948996.0,,810000.0
336832,Cash loans,8681.49,67500.0,81391.5,,67500.0
447897,Consumer loans,8777.565,105097.5,120703.5,0.0,105097.5
296845,Cash loans,37801.845,1125000.0,1288350.0,,1125000.0
344671,Cash loans,11226.465,243000.0,294322.5,,243000.0
284058,Revolving loans,2250.0,45000.0,45000.0,,45000.0
336754,Consumer loans,13111.065,95670.0,103563.0,0.0,95670.0
244069,Consumer loans,6478.065,155511.0,139014.0,16497.0,155511.0
217556,Cash loans,44617.5,1350000.0,1350000.0,,1350000.0
297988,Consumer loans,6794.325,67950.0,61155.0,6795.0,67950.0
371863,Cash loans,14272.695,180000.0,197820.0,,180000.0
344925,Consumer loans,14445.315,220801.5,258691.5,0.0,220801.5
247285,Cash loans,7697.7,180000.0,180000.0,,180000.0
226681,Consumer loans,3502.17,26946.0,26253.0,2695.5,26946.0
412865,Cash loans,26084.7,135000.0,135000.0,0.0,135000.0
434934,Consumer loans,7891.02,61375.275,69475.275,0.0,61375.275
141877,Cash loans,37469.655,675000.0,767664.0,,675000.0
132849,Consumer loans,4516.335,33426.0,37809.0,3375.0,33426.0
300427,Cash loans,,0.0,0.0,,
323614,Revolving loans,,0.0,0.0,,
439017,Consumer loans,31227.57,720000.0,626179.5,144000.0,720000.0
270629,Revolving loans,,0.0,0.0,,
385439,Consumer loans,7635.285,74155.5,73345.5,7416.0,74155.5
333170,Cash loans,,0.0,0.0,,
107000,Consumer loans,5790.105,30550.5,28849.5,3060.0,30550.5
242881,Revolving loans,2250.0,45000.0,45000.0,,45000.0
246691,Consumer loans,10153.71,174510.0,164299.5,34902.0,174510.0
352194,Consumer loans,6724.98,48105.0,46507.5,4810.5,48105.0
345415,Cash loans,22700.7,247500.0,247500.0,,247500.0
287661,Consumer loans,,88105.5,88105.5,0.0,88105.5
313971,Cash loans,24223.275,225000.0,304933.5,,225000.0
159830,Cash loans,,0.0,0.0,,
287095,Consumer loans,10694.925,61155.0,54738.0,9000.0,61155.0
161836,Cash loans,32047.605,900000.0,1096020.0,,900000.0
387594,Revolving loans,4500.0,90000.0,90000.0,,90000.0
136260,Consumer loans,3714.705,22036.5,24907.5,2025.0,22036.5
298086,Consumer loans,8272.89,103500.0,117180.0,0.0,103500.0
449870,Cash loans,,0.0,0.0,,
375170,Consumer loans,8765.55,77175.0,77175.0,0.0,77175.0
429470,Cash loans,,0.0,0.0,,
387218,Consumer loans,10000.8,105745.5,105745.5,0.0,105745.5
205878,Cash loans,,0.0,0.0,,
417377,Revolving loans,11250.0,225000.0,225000.0,,225000.0
261451,Consumer loans,4170.195,38650.5,34780.5,3870.0,38650.5
391022,Revolving loans,22500.0,450000.0,450000.0,,450000.0
410204,Cash loans,42035.535,337500.0,353092.5,,337500.0
138153,Cash loans,17495.55,270000.0,299223.0,,270000.0
352067,Consumer loans,49258.35,269910.0,278815.5,0.0,269910.0
134712,Cash loans,,0.0,0.0,,
183292,Consumer loans,8781.84,66600.0,72094.5,0.0,66600.0
445273,Consumer loans,38149.29,374566.5,359356.5,37458.0,374566.5
317673,Cash loans,,0.0,0.0,,
148526,Consumer loans,3025.35,60633.0,64921.5,6439.5,60633.0
355943,Consumer loans,8753.535,77391.0,85563.0,0.0,77391.0
411407,Cash loans,,0.0,0.0,,
104474,Revolving loans,6750.0,0.0,135000.0,,
439426,Cash loans,31415.4,270000.0,284611.5,,270000.0
294375,Cash loans,12288.735,112500.0,119925.0,,112500.0
373318,Consumer loans,13494.15,134955.0,121459.5,13495.5,134955.0
180582,Consumer loans,15058.035,93627.0,56173.5,37453.5,93627.0
122655,Consumer loans,3054.915,46597.5,46597.5,0.0,46597.5
150392,Revolving loans,,0.0,0.0,,
427702,Cash loans,6154.56,45000.0,54580.5,,45000.0
188440,Consumer loans,7167.465,49027.5,59863.5,0.0,49027.5
140897,Consumer loans,4942.26,22905.0,26514.0,0.0,22905.0
234859,Cash loans,15944.58,135000.0,173839.5,,135000.0
343299,Consumer loans,12594.555,114610.5,114610.5,0.0,114610.5
301515,Cash loans,17014.455,90000.0,92970.0,,90000.0
348568,Cash loans,34151.94,315000.0,332046.0,,315000.0
269666,Consumer loans,17145.72,94365.0,89131.5,9436.5,94365.0
447722,Consumer loans,11392.155,98509.5,108913.5,0.0,98509.5
184507,Consumer loans,16774.92,127485.0,138703.5,0.0,127485.0
290736,Revolving loans,4500.0,90000.0,90000.0,,90000.0
256708,Revolving loans,,0.0,0.0,,
192620,Cash loans,11143.98,81000.0,98532.0,,81000.0
207185,Consumer loans,4848.39,33255.0,35545.5,4500.0,33255.0
297222,Revolving loans,6750.0,135000.0,135000.0,,135000.0
144304,Consumer loans,7657.74,34555.5,36607.5,0.0,34555.5
238248,Cash loans,5090.085,45000.0,47970.0,,45000.0
441244,Revolving loans,4500.0,202500.0,90000.0,,202500.0
322722,Cash loans,7633.575,67500.0,67500.0,0.0,67500.0
382522,Cash loans,,0.0,0.0,,
111405,Cash loans,29273.58,450000.0,491580.0,,450000.0
146681,Cash loans,10988.37,49500.0,57258.0,,49500.0
421723,Cash loans,22018.5,450000.0,450000.0,,450000.0
364786,Consumer loans,4037.175,15745.5,14170.5,1575.0,15745.5
337209,Revolving loans,9000.0,0.0,180000.0,,
311392,Consumer loans,6032.7,57145.5,29983.5,28575.0,57145.5
140669,Consumer loans,7647.12,63580.5,62887.5,6358.5,63580.5
268611,Consumer loans,7080.255,47106.0,51250.5,0.0,47106.0
455448,Cash loans,,0.0,0.0,,
256655,Consumer loans,2769.84,23040.0,22446.0,2304.0,23040.0
