TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemAge,DemMedHomeValue,DemPctVeterans,DemMedIncome,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_N,StatusCat96NK_S,DemHomeOwner_U,DemGender_M,DemGender_U
0,14974,,2,4,1,3,17.0,13.5,9.25,17.0,21,66,8,17,26,3,8,13,0,0,,0.0,0,0.0,0,0,0,0,0,1,0,0
0,6294,,1,8,0,3,20.0,20.0,15.88,,26,92,14,35,79,5,5,24,0,23,67.0,186800.0,85,0.0,0,0,0,0,0,1,0,0
1,46110,4.0,6,41,3,20,6.0,5.17,3.73,5.0,18,111,12,23,51,5,11,22,1,0,,87600.0,36,38750.0,0,0,0,0,1,1,1,0
1,185937,10.0,3,12,3,8,10.0,8.67,8.5,8.67,9,93,14,22,44,2,6,16,1,0,,139200.0,27,38942.0,1,0,0,0,0,1,1,0
0,29637,,1,1,1,1,20.0,20.0,20.0,20.0,21,21,10,15,13,4,7,6,0,35,53.0,168100.0,37,71509.0,0,1,0,0,0,1,1,0
1,112632,11.0,3,11,2,9,11.0,10.33,8.27,8.0,22,102,11,21,45,5,10,22,1,0,47.0,253100.0,0,92514.0,0,0,0,0,1,0,1,0
0,123712,,2,4,2,3,15.0,20.0,13.0,20.0,17,57,13,34,44,6,16,18,0,35,58.0,234700.0,22,72868.0,0,0,0,0,0,0,1,0
0,45409,,1,4,0,3,15.0,15.0,11.5,,18,90,10,19,40,4,4,15,0,8,,207000.0,44,0.0,0,0,0,0,0,1,0,1
1,19094,40.0,1,3,0,1,35.0,35.0,28.33,,17,44,15,32,56,6,6,22,0,35,,137300.0,32,0.0,0,0,0,0,0,1,0,0
0,178271,,1,5,1,2,6.0,20.0,11.6,20.0,18,78,14,28,50,5,11,18,0,13,,180700.0,37,0.0,0,0,0,0,0,1,0,1
1,102224,6.0,3,16,2,13,6.0,6.33,6.13,6.0,17,107,12,23,40,6,12,21,1,15,,143900.0,30,0.0,0,0,0,0,1,1,0,1
1,187915,20.0,2,13,1,8,13.11,9.06,3.93,5.0,19,75,7,15,29,2,6,13,1,36,,134400.0,41,0.0,1,0,0,0,0,1,0,0
0,182029,,1,1,0,0,20.0,20.0,20.0,,16,16,12,17,14,5,5,6,0,16,,68200.0,47,0.0,0,1,0,0,0,1,0,0
0,188644,,2,4,0,0,10.0,15.0,11.5,,5,32,15,33,30,6,6,13,0,17,39.0,115100.0,30,63000.0,0,0,0,0,0,0,1,0
1,164513,50.0,2,2,1,1,20.0,12.5,12.5,5.0,18,27,11,23,19,5,11,9,0,24,50.0,0.0,33,0.0,0,0,0,0,0,0,0,0
0,102526,,6,12,3,5,6.0,6.0,6.0,5.33,23,45,11,32,40,5,15,16,1,34,45.0,0.0,37,0.0,0,0,0,0,1,1,0,0
0,190267,,3,7,1,3,15.0,11.67,8.14,15.0,24,74,4,12,26,2,6,13,0,35,,207900.0,48,0.0,1,0,0,0,0,1,1,0
0,35996,,7,15,3,8,5.0,5.29,5.67,5.67,17,93,12,30,58,6,15,22,1,39,,104400.0,35,54385.0,0,0,0,0,1,0,1,0
0,176929,,4,5,1,1,10.0,41.5,35.2,50.0,18,33,14,33,33,6,15,13,0,45,,70000.0,37,0.0,0,0,0,0,0,1,0,0
1,187678,5.0,4,9,3,7,7.0,5.5,5.22,5.67,21,44,6,14,19,2,6,8,1,18,,62500.0,28,0.0,1,0,0,0,0,1,0,0
1,6789,10.0,1,20,1,8,25.0,36.0,26.95,36.0,18,105,21,39,101,6,17,30,1,53,80.0,51500.0,37,44947.0,0,0,0,0,0,1,1,0
0,190212,,2,5,0,2,15.0,12.0,9.2,,18,57,4,12,19,2,2,10,0,12,,43200.0,52,0.0,1,0,0,0,0,1,1,0
0,29903,,3,21,2,14,8.0,7.67,6.57,7.5,22,105,5,13,42,2,6,19,1,0,61.0,237700.0,31,86560.0,1,0,0,0,0,0,1,0
1,127346,10.0,1,1,1,1,15.0,15.0,15.0,15.0,19,19,7,11,10,2,4,4,0,14,47.0,218900.0,26,0.0,1,0,0,0,0,1,0,0
