TARGET_B,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemAge,DemMedHomeValue,DemPctVeterans,DemMedIncome,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_N,StatusCat96NK_S,DemHomeOwner_U,DemGender_M,DemGender_U,DemMedIncome_Missing
0,0.7419373447293773,1.410986973710262,0.09531017980432493,1.1314021114911006,2.8390784635086144,2.6100697927420065,2.2353763433005955,2.8390784635086144,3.0492730404820207,4.191168746857641,8,17,26,3,8,13,0,0,59.0,112179.20275487842,0,53513.457361167966,0,0,0,0,0,1,0,0,1
0,0.09531017980432493,2.0918640616783932,-2.3025850929940455,1.1314021114911006,3.0007198150650303,3.0007198150650303,2.7713379403381286,2.7788192719904172,3.261935314328648,4.522874943261261,14,35,79,5,5,24,0,23,67.0,186800.0,85,53513.457361167966,0,0,0,0,0,1,0,0,0
1,1.8082887711792655,3.716008121502189,1.1314021114911006,3.0007198150650303,1.8082887711792655,1.6620303625532709,1.3428648031925547,1.62924053973028,2.89591193827178,4.7104306966455844,12,23,51,5,11,22,1,0,54.5,87600.0,36,38750.0,0,0,0,0,1,1,1,0,1
1,1.1314021114911006,2.4932054526026954,1.1314021114911006,2.0918640616783932,2.312535423847214,2.1713368063840917,2.151762203259462,2.1713368063840917,2.2082744135228043,4.533674184283021,14,22,44,2,6,16,1,0,50.0,139200.0,27,38942.0,1,0,0,0,0,1,1,0,1
0,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0492730404820207,3.0492730404820207,10,15,13,4,7,6,0,35,53.0,168100.0,37,71509.0,0,1,0,0,0,1,1,0,0
1,1.1314021114911006,2.4069451083182885,0.7419373447293773,2.2082744135228043,2.4069451083182885,2.344686269012681,2.124653884501384,2.0918640616783932,3.095577608523707,4.625952725170619,11,21,45,5,10,22,1,0,47.0,253100.0,0,92514.0,0,0,0,0,1,0,1,0,0
0,0.7419373447293773,1.410986973710262,0.7419373447293773,1.1314021114911006,2.714694743820879,3.0007198150650303,2.5726122302071057,3.0007198150650303,2.8390784635086144,4.044804116661965,13,34,44,6,16,18,0,35,58.0,234700.0,22,72868.0,0,0,0,0,0,0,1,0,0
0,0.09531017980432493,1.410986973710262,-2.3025850929940455,1.1314021114911006,2.714694743820879,2.714694743820879,2.451005098112319,2.6619665279224902,2.89591193827178,4.500920164614292,10,19,40,4,4,15,0,8,59.15084489627696,207000.0,44,53513.457361167966,0,0,0,0,0,1,0,1,1
1,0.09531017980432493,1.1314021114911006,-2.3025850929940455,0.09531017980432493,3.55820113047182,3.55820113047182,3.3474449256629084,2.6619665279224902,2.8390784635086144,3.7864597824528,15,32,56,6,6,22,0,35,59.15084489627696,137300.0,32,53513.457361167966,0,0,0,0,0,1,0,0,1
0,0.09531017980432493,1.62924053973028,0.09531017980432493,0.7419373447293773,1.8082887711792655,3.0007198150650303,2.4595888418037104,3.0007198150650303,2.89591193827178,4.35799005684564,14,28,50,5,11,18,0,13,55.5,180700.0,37,53513.457361167966,0,0,0,0,0,1,0,1,1
1,1.1314021114911006,2.7788192719904172,0.7419373447293773,2.5726122302071057,1.8082887711792655,1.860974538249528,1.8293763327993617,1.8082887711792655,2.8390784635086144,4.673762977453703,12,23,40,6,12,21,1,15,61.0,143900.0,30,53513.457361167966,0,0,0,0,1,1,0,1,1
1,0.7419373447293773,2.5726122302071057,0.09531017980432493,2.0918640616783932,2.580974118534234,2.214846178686039,1.3937663759585917,1.62924053973028,2.9496883350525844,4.318820558770089,7,15,29,2,6,13,1,36,54.5,134400.0,41,53513.457361167966,1,0,0,0,0,1,0,0,1
0,0.09531017980432493,0.09531017980432493,-2.3025850929940455,-2.3025850929940455,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.6619665279224902,2.7788192719904172,2.7788192719904172,12,17,14,5,5,6,0,16,59.15084489627696,68200.0,47,53513.457361167966,0,1,0,0,0,1,0,0,1
0,0.7419373447293773,1.410986973710262,-2.3025850929940455,-2.3025850929940455,2.312535423847214,2.714694743820879,2.451005098112319,2.312535423847214,1.62924053973028,3.4688560301359703,15,33,30,6,6,13,0,17,39.0,115100.0,30,63000.0,0,0,0,0,0,0,1,0,0
1,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,3.0007198150650303,2.533696813957432,2.533696813957432,1.62924053973028,2.89591193827178,3.299533727885655,11,23,19,5,11,9,0,24,50.0,112179.20275487842,33,53513.457361167966,0,0,0,0,0,0,0,0,0
