ID,CONTACT_DATE,DONOR_NOTES
14974,1996-01-08,responded positively to greeting card mailing
6294,1996-07-29,requested no future solicitations
46110,1997-05-21,interested in supporting veterans programs
185937,1996-09-01,donated after receiving mailing labels
29637,1997-01-25,no response to previous solicitation
112632,1996-05-06,prefers communication by mail
123712,1997-07-03,regular donor responded to campaign
45409,1997-10-12,asked for information about veterans services
19094,1997-10-23,received greeting card but did not donate
178271,1996-10-02,made donation after direct mail campaign
102224,1997-10-27,requested fewer fundraising letters
187915,1996-08-13,positive response to veterans appeal
182029,1997-11-02,no response after mailing labels sent
188644,1997-08-12,long time supporter of veterans programs
164513,1996-06-21,interested in making a future donation
102526,1996-04-20,asked to update mailing address
190267,1996-10-09,responded to holiday greeting card
35996,1997-10-20,declined donation at this time
176929,1997-05-04,previous donor interested in new campaign
187678,1996-01-26,requested additional information by mail
6789,1996-08-22,donated after veterans fundraising letter
190212,1996-01-25,no response to greeting card campaign
29903,1997-03-25,supports veterans but requested fewer mailings
127346,1996-10-12,positive response after mailing received
115374,1997-04-30,asked not to receive greeting cards
83613,1996-11-14,interested in veterans charitable programs
174124,1996-10-29,repeat donor responded to direct mail
5532,1996-12-05,mail returned due to incorrect address
189258,1996-04-02,considering donation after campaign contact
27634,1997-10-30,requested removal from solicitation list
