TARGET_B,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemAge,DemMedHomeValue,DemPctVeterans,DemMedIncome,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_N,StatusCat96NK_S,DemHomeOwner_U,DemGender_M,DemGender_U,DemMedIncome_Missing,DemCluster10,DemCluster44,DemCluster30,DemCluster41,DemCluster32,DemCluster47,DemCluster40,DemCluster49,DemCluster13
0,0.7419373447293773,1.410986973710262,0.0953101798043249,1.1314021114911006,2.8390784635086144,2.6100697927420065,2.2353763433005955,2.8390784635086144,3.0492730404820207,4.191168746857641,8,17,26,3,8,13,0,59.0,112179.20275487842,0,53513.457361167966,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,2.091864061678393,-2.302585092994045,1.1314021114911006,3.0007198150650303,3.0007198150650303,2.7713379403381286,2.778819271990417,3.261935314328648,4.522874943261261,14,35,79,5,5,24,0,67.0,186800.0,85,53513.457361167966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1.8082887711792652,3.716008121502189,1.1314021114911006,3.0007198150650303,1.8082887711792652,1.6620303625532709,1.3428648031925547,1.62924053973028,2.89591193827178,4.710430696645584,12,23,51,5,11,22,1,54.5,87600.0,36,38750.0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1.1314021114911006,2.4932054526026954,1.1314021114911006,2.091864061678393,2.312535423847214,2.171336806384092,2.151762203259462,2.171336806384092,2.2082744135228043,4.533674184283021,14,22,44,2,6,16,1,50.0,139200.0,27,38942.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0492730404820207,3.0492730404820207,10,15,13,4,7,6,0,53.0,168100.0,37,71509.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1.1314021114911006,2.4069451083182885,0.7419373447293773,2.2082744135228043,2.4069451083182885,2.344686269012681,2.124653884501384,2.091864061678393,3.095577608523707,4.625952725170619,11,21,45,5,10,22,1,47.0,253100.0,0,92514.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,1.410986973710262,0.7419373447293773,1.1314021114911006,2.714694743820879,3.0007198150650303,2.5726122302071057,3.0007198150650303,2.8390784635086144,4.044804116661965,13,34,44,6,16,18,0,58.0,234700.0,22,72868.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,1.410986973710262,-2.302585092994045,1.1314021114911006,2.714694743820879,2.714694743820879,2.451005098112319,2.6619665279224902,2.89591193827178,4.500920164614292,10,19,40,4,4,15,0,59.15084489627696,207000.0,44,53513.457361167966,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,1.1314021114911006,-2.302585092994045,0.0953101798043249,3.55820113047182,3.55820113047182,3.3474449256629084,2.6619665279224902,2.8390784635086144,3.7864597824528,15,32,56,6,6,22,0,59.15084489627696,137300.0,32,53513.457361167966,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,1.62924053973028,0.0953101798043249,0.7419373447293773,1.8082887711792652,3.0007198150650303,2.4595888418037104,3.0007198150650303,2.89591193827178,4.35799005684564,14,28,50,5,11,18,0,55.5,180700.0,37,53513.457361167966,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
